ID,ENTRY_DTE,EXIT_DTE,EXIT_REASON,DEGREE_DESC,MAJOR_MINOR_DESC,career_gpa
2F6552EF-E8B0-414F-867E-01407259E6C8,,7/28/1997,Graduated,Master of Arts,Marriage & Family Therapy,3.78
245C8384-D376-4640-A14B-0188534701C4,7/14/2017,5/9/2020,Graduated,Bachelor of Science,Business Administration,3.29
2AFCD97C-ECCE-4497-9DDB-01A287032A9D,12/4/2017,8/16/2019,,Bachelor of Science,Psychology,3.75
2BF3D88C-E184-4D7D-97EC-01A417D86437,,6/9/2000,Graduated,Bachelor of Arts,Management,3.3
639C6596-3626-42E7-881B-01D98875A2C6,,6/10/1995,Graduated,Bachelor of Science,Managerial Leadership,4
79253D16-46E9-460A-AC8A-01F530F01F57,,6/15/2001,,Bachelor of Arts,Elementary Education,2.73
79253D16-46E9-460A-AC8A-01F530F01F57,,8/29/2003,Graduated,Master of Arts,MA: School Counselor & Consultant,3.58
42871DFF-F5C4-4267-A0A9-0200615E1295,,6/13/1997,,Bachelor of Arts,Interdisciplinary Studies,3.86
42871DFF-F5C4-4267-A0A9-0200615E1295,,6/11/1999,Graduated,Master of Arts,Marriage & Family Therapy,3.72
1B44C4B8-A033-4AC3-B09C-02060719FA53,8/25/2011,5/11/2013,,Bachelor of Arts,Music Ministry,3.48
7889E9DE-08A8-4EDA-B816-020BDE25BC0D,10/1/2019,5/8/2020,,Bachelor of Arts,Communication: Public Relations,3.29
F0F17DF7-3CCC-4E0D-80F2-0214DF7927D9,,8/29/2003,Graduated,Bachelor of Arts,Teacher Education,3.95
282941A9-BED8-45D3-B352-02154E834EA2,8/23/2016,8/11/2017,,Bachelor of Arts,Teacher Education: Elementary,2.59
E37ECD18-B363-4F3B-819E-022A9CB1055F,,5/10/2008,Graduated,Bachelor of Arts,Teacher Education: Elementary,3.97
CB9283B8-E239-4950-AB29-026D8CF2BB9A,,6/12/1998,Graduated,Bachelor of Arts,Management,3.56
1BF8639A-82F0-4103-B407-028D44117382,,5/5/2007,Graduated,Bachelor of Arts,Management,3.64
C89893F1-192A-4CCC-94C6-028EAC1EC8A7,5/12/2017,5/6/2017,Graduated,Bachelor of Science,Interdisciplinary Studies,2.8
8DB88A4B-C538-45CD-81D8-0298AD31EF3A,8/15/2017,8/14/2020,Graduated,Master of Business Admin,Management,3.39
9019C693-2B41-4402-A802-0298E548C866,7/2/2015,8/26/2016,Graduated,Master of Education,MEd: Curriculum & Instructional Technology,4
918E9C58-BD6C-402A-A690-02AC6EBC1EF8,11/3/2011,8/26/2011,,Bachelor of Arts,Accounting,3.2
918E9C58-BD6C-402A-A690-02AC6EBC1EF8,,8/26/2011,,Bachelor of Arts,Accounting,3.2
083B7FE8-2C84-40E3-87D6-02B1E7D22B8A,6/19/2015,5/5/2017,,Bachelor of Science,Business Administration,3.5
0D5C56AA-6EF6-43C0-98C7-02B2DE20A509,3/23/2018,10/19/2018,,Bachelor of Science,Business Administration,3.55
0B8ACF94-FF7B-4818-8EAE-02B5B0A26ABD,1/15/2003,9/29/2003,,Bachelor of Arts,Teacher Education,1.88
A2458602-8727-4ADE-9D6A-02C1A28E1096,,6/12/1998,Graduated,Undergraduate Certificate,TESOL,3.9
C9E33A5E-A5D3-441E-82EF-02C439A6342E,,6/11/1999,Graduated,Bachelor of Arts,Elementary Education,3.83
F6343B68-B01C-41EE-A39E-02C51A9F5E7E,6/18/2018,5/9/2020,Graduated,Master of Arts,Teaching,3.97
5679F3BE-3CCE-4DC0-BDDC-02CA767B80E5,,6/15/2001,Graduated,Undergraduate Certificate,TESOL,3.93
EF69183B-8882-4127-88E1-02D3664F78DC,5/25/2018,5/12/2018,Graduated,Bachelor of Science,Teacher Education,3.86
D59D36B6-8588-4967-B009-02E5F5126383,,8/12/2003,Graduated,Bachelor of Arts,Teacher Education,4.01
F42EEF0D-A56A-4ACB-8A07-030994711702,8/12/2016,12/13/2019,Graduated,Bachelor of Science,Business Administration,3.37
17D6C4BD-FDED-4BF6-BEE2-0316437A0D83,,6/11/1993,Graduated,Bachelor of Science,Managerial Leadership,3.77
EA79E601-64FE-4B95-9FAD-03164BD496F6,,6/12/1998,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,2.87
5C00134A-6B7D-4EF4-82F3-0326226931D0,9/17/2013,8/23/2015,,Bachelor of Arts,Business Administration,3.2
3749476B-5F5C-4332-99DB-0334AE7ADC5D,11/30/2012,8/23/2015,Graduated,Bachelor of Arts,Business Administration,3.56
6CF10B19-97FB-4480-A672-033B1BF5450F,,6/9/2000,Graduated,Bachelor of Arts,Elementary Education,3.98
D3BBF69D-9BCC-4AEF-9B6F-0343F43F0250,,6/12/1998,Graduated,Bachelor of Arts,Management,3.3
2F5A2864-370C-444B-916C-035D66A8A5CB,5/31/2013,12/13/2013,,Bachelor of Arts,Psychology,2.6
246E2366-D45B-45AC-87E7-0364C6D57219,,6/9/2000,Graduated,Associate of Arts,General Studies,3.27
1CA61CD3-36CC-47B5-959A-037755886CB0,2/11/2013,12/12/2014,Graduated,Bachelor of Arts,Business Administration,3.42
DFDB1C82-A6CC-41E2-A025-037F1EC3DE8C,,12/11/2009,Graduated,Bachelor of Arts,Management Information Systems,3.91
B78A15BB-160C-4668-955E-038550D0FB94,,12/15/2006,Graduated,Bachelor of Arts,Management,3.75
C4C54101-0574-4A3B-8141-038ACEB06132,7/27/2016,5/5/2017,,Bachelor of Science,Exercise Science,3.1
4CC1A7D9-7975-4F5F-A6C2-038BF201FEDF,,5/5/2007,Graduated,Bachelor of Arts,Teacher Education:Secondary,3.93
00475DCD-1D59-4109-BFF3-03A911801EA6,1/8/2018,12/13/2019,Graduated,Master of Arts,Clinical Mental Health Counseling,3.67
00475DCD-1D59-4109-BFF3-03A911801EA6,8/5/2014,8/11/2017,,Bachelor of Science,Psychology,2.53
EBCACF14-56E3-49B8-9300-03AF86CCAB17,12/7/2011,8/24/2012,,Bachelor of Arts,Psychology,3.02
366C9D19-9C59-46F6-B6A7-03BED1EC324E,,6/13/2003,Graduated,Bachelor of Arts,Music,3.85
013A9791-5A77-45FD-A164-03C83FB5DC92,11/20/2013,5/10/2014,Graduated,Bachelor of Science,Teacher Education,3.72
B7CE4DBA-C245-416C-AB79-03CA1D91379B,12/5/2011,12/14/2012,Graduated,Master of Arts,Community Counseling,3.97
B7CE4DBA-C245-416C-AB79-03CA1D91379B,,6/9/2000,,Bachelor of Arts,Management,3.13
1C3A47AA-2BB2-4972-A585-03DC23FF1626,8/15/2018,8/14/2020,Graduated,Master of Business Admin,Management,3.94
FC93E928-73C0-4A8A-9726-03F0065489B6,6/27/2017,5/9/2020,Graduated,Bachelor of Arts,Christian Worship,3.6
FC93E928-73C0-4A8A-9726-03F0065489B6,8/24/2020,5/9/2020,,Master of Arts,Leadership: Higher Education,0
CD281908-FD18-47D0-8E2A-0401F7A5671E,8/5/2014,5/12/2018,Graduated,Bachelor of Science,Teacher Education,3.86
B5FC664D-F519-4077-958C-0402F7C41DF5,,12/15/2006,Graduated,Bachelor of Arts,Management,3.42
D8FEF6FD-4D34-403C-ADBF-0408FD5859CF,8/19/2011,12/14/2012,Graduated,Bachelor of Science,Exercise Science,3
232B26A4-0A08-4437-969B-041C65949278,8/14/2013,5/7/2016,Graduated,Master of Arts,Clinical Mental Health Counseling,3.85
1F22E47C-750F-49D8-8F45-042400812C68,10/30/2015,5/6/2017,Graduated,Bachelor of Science,Business Administration,3.5
894300BF-6BFB-4F03-812E-04249E3E9197,,6/12/1998,,Bachelor of Arts,Management,3.84
22936372-BA84-4ED2-A98B-042FFED1D804,8/5/2014,5/6/2016,,Bachelor of Science,Psychology,2.94
82182D52-7357-4E46-9FA2-043D6AD4BC78,,5/9/2009,Graduated,Bachelor of Arts,Health Care Administration,3.95
A7B95FC2-DEC5-4CD4-85C9-044CE74C42D8,,6/11/1993,Graduated,Bachelor of Science,Managerial Leadership,4
B967A419-7290-4872-8272-0450AFF4C82C,,6/15/2001,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,2.93
92B73EA8-B7D3-4EA1-A359-0458C5CA8547,2/9/2018,5/9/2020,Graduated,Bachelor of Science,Teacher Education,4
5375D7C4-6D98-46AC-A902-045A4D97DAFA,,12/7/2001,Graduated,Undergraduate Certificate,TESOL,4
54B44B44-44C8-4483-ABD2-0477B3785978,,6/13/1997,,Bachelor of Arts,Elementary Education,3.8
D910562A-07D1-4C91-835D-048297144BC6,,5/7/2011,Graduated,Undergraduate Certificate,Accounting,4
85535FC8-D6AD-4FB3-86BD-048CE9632426,6/26/2013,5/6/2017,Graduated,Bachelor of Science,Exercise Science,3.72
E8EE8835-7605-46A8-A02D-0490A3234711,,5/6/2005,Graduated,Associate of Science,Management Information Systems,3.2
246540C8-B1CF-4DA7-B3F6-04B7F7EA2B12,,6/13/2003,Graduated,Bachelor of Arts,Teacher Education,3.62
3EB08AB3-30C5-4BB0-A9AB-04B9432F2F77,7/28/2016,8/17/2018,Graduated,Master of Arts,Clinical Mental Health Counseling,4
0F302C26-E2F5-4619-A32D-04E4796DBD97,,5/8/2010,Graduated,Bachelor of Arts,Management,3.68
0FD12DA2-E404-4D19-95CA-04EEA07C93BB,,6/9/2000,Graduated,Bachelor of Arts,Management,3.8
54E5CAAE-CA4E-487F-B242-04F0CAAB9701,6/4/2013,5/7/2016,,Bachelor of Science,Business Administration,3.58
DD0C73EE-666F-4ED4-9CC0-04F854AE072C,,6/11/1999,Graduated,Bachelor of Arts,Business Administration,3.72
07EE9B80-3EEE-4EEF-81AD-04FD629D249D,,6/12/1998,Graduated,Bachelor of Arts,Management,3.87
7A40C5C4-680A-46B5-9EB9-050CCDA79E56,,6/10/1994,,Bachelor of Science,Managerial Leadership,0
B89A57FE-E486-4068-841D-05203404121B,,8/6/2004,Graduated,Bachelor of Arts,Teacher Education,3.89
F3457B72-AFC8-43CD-BBE8-05327FB24719,7/6/2012,5/7/2012,,Bachelor of Science,Exercise Science,2.24
453CFFF7-7060-4ABB-A61E-058E1BEFA53D,,6/14/2002,Graduated,Bachelor of Arts,Interdisciplinary Studies,3.56
3DE2589B-83A2-4D24-8DA3-05C1948A76DE,,8/31/2001,Graduated,Bachelor of Arts,Management,4
68D72647-C527-43ED-AE20-05CBEEB9DE9A,,6/12/1998,,Bachelor of Arts,Communication,3.43
9B939696-95EF-4BF9-B3CF-05D5A08DA1A8,,6/9/2000,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,3.39
87706552-6E2B-4AAA-8BA2-05DC5D8F04E0,4/16/2015,12/15/2017,,Bachelor of Science,Criminal Justice,2.97
8CC95D12-5639-42F6-A10F-05DD1EF850C8,8/19/2011,5/10/2014,Graduated,Master of Arts,Clinical Mental Health Counseling,3.97
D7AA98C1-22CD-49F7-96A3-05FE2C3477CD,8/15/2011,8/24/2012,,Bachelor of Arts,Business Administration,3.83
9AACDF4B-8263-4CED-9B98-06041E6C29E4,8/17/2015,8/11/2017,,Bachelor of Science,Psychology,2
63924EA1-BFCD-463D-BAAE-060BB68FD876,7/28/2015,5/6/2016,,Bachelor of Science,Nursing,3.85
BD72F177-7090-4D97-B6B4-06184144174A,,6/10/1994,Graduated,Bachelor of Science,Communication,3.76
57C181FD-E743-4E08-9E7F-0623D0127648,,6/10/1995,Graduated,Bachelor of Science,Managerial Leadership,3.55
CE8BDD44-F53B-4472-ABFF-0625E33A9F73,,8/27/1999,Graduated,Bachelor of Arts,Management,3.7
D59DB616-D0EF-41BB-8DBD-062B33084815,,12/14/2007,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,3.4
E0950262-1A52-4812-86C6-063EA75C4051,,5/7/2011,Graduated,Master of Arts,MA: School Counselor & Consultant,4
FC68C4F7-A9D5-470E-BE93-06477D9EC562,,6/14/2002,Graduated,Bachelor of Arts,Interdisciplinary Studies,2.47
7B84F240-2D5B-4449-AD55-064B72821435,,12/11/2009,Graduated,Bachelor of Arts,Management,3.97
BA02C3D2-A7B5-4A65-8D84-0655CDA83346,,5/5/2006,,Bachelor of Arts,Business Administration,2.57
D5FC44CA-044F-4F0F-88D1-06595833320D,6/26/2013,5/6/2017,Graduated,Bachelor of Science,Exercise Science,3.43
E370D631-1724-4D11-A332-0683EB0D7892,,12/11/2009,Graduated,Bachelor of Arts,Management,3.34
D1107284-095A-49A9-B12A-06A396EEDA9D,9/9/2015,5/11/2019,Graduated,Bachelor of Science,Teacher Education,3.59
ED652FEA-A2BD-406B-837E-06B09DA23E29,7/9/2015,5/11/2019,Graduated,Bachelor of Science,Accounting,3.59
4171F26B-EE04-4128-9C3F-06B3244C039B,8/12/2011,5/11/2013,Graduated,Bachelor of Arts,Business Administration,3.9
1E44F900-AF53-4ADB-BAC9-06B562CA0985,6/22/2015,12/11/2015,,Bachelor of Arts,Teacher Education: Elementary,1.93
C9E1A42F-137C-4E08-830A-06D96E075084,8/12/2011,8/25/2013,Graduated,Bachelor of Arts,Interdisciplinary Studies,3.51
22FF2A85-F0B4-46D0-A028-07060F87A225,2/12/2016,5/6/2017,Graduated,Bachelor of Science,Teacher Education,3.93
1A383CF3-70CD-4DC6-BA34-0712EC17C396,,6/14/2002,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,1.94
383481BF-DF84-4F1A-A18E-0739AFE9A652,,6/11/1999,Graduated,Bachelor of Arts,Management,3.82
3A5FF108-2D1F-467A-9587-0741D15C1A8F,,6/14/1996,Graduated,Bachelor of Science,Managerial Leadership,3.1
4CD34D61-3509-447A-80E6-074914DC3633,8/8/2019,12/13/2019,,Bachelor of Science,Psychology,2.42
A9EE1E88-7E85-403A-83EE-07556DD2E807,,5/7/2011,Graduated,Bachelor of Arts,Music Ministry,3.84
29D51311-36B5-4F2A-A700-075D6425B6DB,,6/11/1999,Graduated,Bachelor of Arts,Communication,3.13
0C4580EF-8CEA-422B-81AC-076E3D0D70CD,,5/5/2007,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,3.72
C44018D9-02AC-4344-9463-076FC3DF0C15,,5/6/2005,Graduated,Bachelor of Arts,Business Administration,3.68
E61F14C4-048F-4A12-BDC7-0787CE51B9EF,10/2/2017,5/11/2019,,Bachelor of Science,Accounting,3.83
068F69C5-BE59-4D10-B2C5-078EF98C4590,,8/31/2001,Graduated,Bachelor of Arts,Management,3.9
1DDFF414-2BBB-4D57-8B8F-07A6434C1698,,6/13/1997,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,3.25
78889181-D3C6-46B4-AF3F-07ABBE0DD9E7,8/8/2016,5/12/2018,Graduated,Master of Arts,Teaching,3.54
BECC91F7-747C-4AE8-9E09-07B15D9568E6,8/12/2011,5/11/2013,Graduated,Bachelor of Arts,Business Administration,4
A52BB10D-8BFE-44FF-8EC6-07B9569FF77C,,6/13/2003,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,3.5
937F4755-4DA3-429A-B519-07C318D83499,1/8/2016,5/6/2016,,Master of Arts,Clinical Mental Health Counseling,3.2
937F4755-4DA3-429A-B519-07C318D83499,9/26/2011,8/24/2014,,Bachelor of Arts,Interdisciplinary Studies,3.84
E52479F9-F1C0-4CD4-9E3E-07C8D59FC4F1,,6/15/2001,Graduated,Bachelor of Arts,Management,4
E9714624-FD04-4C61-88E3-07CCCFBBCE69,,6/11/1993,Graduated,Bachelor of Arts,Managerial Leadership,4
407F1A27-A174-4CE9-BDB9-07D28EC6EA6C,4/11/2017,8/16/2019,Graduated,Bachelor of Science,Accounting,3.98
D61360BD-95EF-4A26-BBFA-07D8DF3EC691,8/9/2012,8/23/2015,Graduated,Bachelor of Science,Business Administration,3.41
5C1FF1FD-E088-4274-94F5-07D9F154FA83,,5/7/2011,Graduated,Bachelor of Arts,Psychology: General,3.75
B2030420-86CD-4FD8-A68D-07E1F9C2B003,,8/19/2003,Graduated,Bachelor of Arts,Teacher Education,3.55
49889970-440D-460E-BA8F-07E7A01BC38F,8/30/2017,10/20/2019,,Bachelor of Science,Accounting,3.82
88456E9D-3EC0-4BD5-AE65-07F637A72ED8,8/19/2011,5/10/2014,Graduated,Master of Arts,Clinical Mental Health Counseling,4
88456E9D-3EC0-4BD5-AE65-07F637A72ED8,,8/26/2011,,Bachelor of Arts,Psychology,3.97
6B7F0FB5-8400-4F8D-A12C-0800F52720DD,4/19/2018,12/13/2019,Graduated,Bachelor of Science,Interdisciplinary Studies,3.48
E8FAA703-D765-4E11-A834-08048D558F0B,,12/12/2008,Graduated,Master of Arts,Professional Counseling,4
B9738ABC-C09B-4AB7-91C3-0817AAE41C03,5/9/2012,5/5/2012,Graduated,Bachelor of Arts,Accounting,3.98
B9738ABC-C09B-4AB7-91C3-0817AAE41C03,6/12/2012,5/5/2012,Graduated,Bachelor of Science,Mathematics,3.98
C48447AF-C3B4-4250-9D55-083BD32CFCF8,8/19/2011,5/11/2013,Graduated,Bachelor of Arts,Music: Music Industry,3.59
D6D76EA9-03F1-443C-846B-0842B596824F,,5/8/2010,,Bachelor of Arts,Management,3.24
D6D76EA9-03F1-443C-846B-0842B596824F,8/14/2013,5/7/2016,Graduated,Master of Arts,Clinical Mental Health Counseling,3.97
F6B8FDA5-8176-4DEE-B51C-08473A403A9B,11/9/2012,12/13/2013,Graduated,Bachelor of Arts,Business Administration,3.57
3496AADC-C399-401D-A141-08688BAD7C7C,4/11/2014,5/6/2017,,Bachelor of Science,Business Administration,3.42
B6691672-0D59-4AB0-92B2-0876DD936E02,,6/9/2000,Graduated,Master of Arts,Marriage & Family Therapy,3.83
E2A0A03B-5B94-4D38-BAA9-088C398B6938,,5/9/2009,Graduated,Bachelor of Arts,English,3
92348B73-17FB-401A-B41B-0893BA708B5A,,5/5/2006,Graduated,Master of Arts,MA: School Counselor & Consultant,3.93
1D69BC2C-805C-4D17-9E00-08A9088C9417,,12/12/2008,Graduated,Bachelor of Arts,Management,3.38
2AD1E775-886C-493B-BE5E-08BE709E71F2,8/15/2017,5/11/2019,Graduated,Master of Arts,MA: School Counselor & Consultant,4
F950CCAF-5F5D-44C7-B117-08C1DB376B1A,6/8/2015,12/11/2015,Graduated,Bachelor of Science,Exercise Science,3.46
90229E6E-8E1D-4C68-8BD4-08D46DEE699D,4/8/2010,4/25/2001,,Bachelor of Arts,Interdisciplinary Studies,0.5
DB9FFDD1-178C-41EE-9216-090C87BE5B18,8/19/2011,5/10/2014,Graduated,Bachelor of Arts,Teacher Education,3.39
716EE7C6-AC69-4696-9E2E-0915A925F651,8/19/2011,5/10/2014,Graduated,Bachelor of Arts,Teacher Education,3.56
099A1CAE-5EAD-4905-BFED-091C8646E896,,5/8/2010,Graduated,Bachelor of Arts,Management,3.18
585ADF3C-7B6F-40A3-80E3-09208DDFC605,8/12/2014,12/12/2014,,Master of Education,MEd: Curriculum & Instructional Technology,4
66754C0A-20C2-4BE6-88CF-093487505199,,6/13/1997,Graduated,Bachelor of Arts,Elementary Education,3.32
0DF5AC10-F1DB-4482-9E1B-093A95B2B59D,10/10/2012,12/14/2012,,Master of Business Admin,Master of Business Administration,4
72F260E0-940F-4137-BB10-094C8085C600,,6/10/1995,Graduated,Bachelor of Science,Communication,3.04
B7B62792-DCDD-40E9-8D04-095E1AFB3704,7/27/2016,5/5/2017,,Bachelor of Arts,Undecided/Undeclared,4
19C30BEC-FCCD-4027-8A9C-096A154B9F71,8/16/2016,8/11/2017,,Bachelor of Science,Business Administration,2.63
5412EB53-6641-4128-A72A-096DA7C0F965,,5/8/2010,,Bachelor of Arts,Psychology,3.53
E180F756-9347-4768-8F2F-097CC3506D11,,6/11/1993,Graduated,Master of Arts,Marriage & Family Therapy,4
8445EEB9-A661-493F-81E3-0986DC7058C2,,5/5/2007,Graduated,Bachelor of Arts,Health Care Administration,3.4
3F1933E3-48F3-435D-9ACA-0993FD5E0254,8/1/2012,5/7/2016,,Bachelor of Science,Business Administration,3.14
728A1250-BBEF-438D-9EA4-09ABC7795D03,5/7/2018,5/9/2020,Graduated,Master of Arts,Leadership: Business Administration,4
728A1250-BBEF-438D-9EA4-09ABC7795D03,,5/6/2005,,Bachelor of Arts,Psychology,3.98
69C914B0-7BC1-4C8C-9992-09B217C3E1E3,8/19/2011,5/5/2012,Graduated,Bachelor of Science,Exercise Science,3.18
C96A31F8-CBCC-4E11-A00D-09DCF41605E1,,5/5/2007,Graduated,Bachelor of Arts,Bible & Christian Ministry Studies,2.81
9DD337B1-9465-47C3-8A2A-09E59936830F,,5/5/2007,Graduated,Bachelor of Arts,Psychology,3.66
820478D9-18C7-41C9-A760-09F38DDE0751,,6/11/1999,Graduated,Master of Arts,Marriage & Family Therapy,4.12
165DA75B-55C3-49D8-AF74-09FB9877A75E,5/20/2016,5/7/2016,,Bachelor of Arts,Interdisciplinary Studies,2.75
F4320B9F-4617-454B-BC81-09FC803E3DEA,,12/10/2010,Graduated,Bachelor of Arts,Business Administration,3.49
1192FA22-FD3F-4AAD-BEFC-0A01EC1DF19A,10/18/2013,12/11/2015,Graduated,Master of Education,MEd: Curriculum & Instructional Technology,4
F6EC4AF5-B44F-4C58-B0E9-0A3EEC1ACCD6,,6/14/1996,Graduated,Bachelor of Arts,Managerial Leadership,3.86
9E4BF211-537A-4D11-8BD0-0A4B2AF74146,1/2/2013,8/24/2014,,Bachelor of Arts,Business Administration: Marketing,3.84
7FA31A69-A1C8-4925-BF5F-0A5BD3DA32C2,5/29/2015,5/11/2019,Graduated,Bachelor of Arts,English,3.25
625B46CC-5D1D-4E19-9599-0A6EE4A69D6D,12/8/2014,8/26/2016,Graduated,Bachelor of Arts,Accounting,3.36
DD9C8A90-5DC3-43DF-A778-0A8C8BE80E6F,8/19/2011,12/14/2012,Graduated,Master of Arts,Community Counseling,3.77
18969D20-4C7D-407E-BA20-0A9E86D92CDF,6/5/2013,5/7/2016,Graduated,Bachelor of Science,Exercise Science,3.74
22FCFB7A-E5E3-43A5-9205-0AA876C2C74B,,8/5/2002,Graduated,Master of Arts,MA: School Counselor & Consultant,4.08
77653921-BF38-4A2E-A4EC-0AAB8EDB1C2E,11/8/2017,5/11/2018,,Bachelor of Arts,Teacher Education: Elementary,1.85
53546900-ED4D-442B-81CD-0AAEC1DDE806,,5/5/2007,Graduated,Bachelor of Arts,Humanities,3.71
C673469E-44DD-4980-A6B0-0ACE764EACC1,,12/11/2009,Graduated,Bachelor of Arts,Management,3.81
6DB7B4A3-6B98-4E53-AADB-0AD8909AD1EC,,5/5/2007,Graduated,Master of Arts,MA: School Counselor & Consultant,4
69085278-DC5E-4AAD-9316-0AE50F9423E2,8/2/2016,5/11/2019,Graduated,Master of Arts,Clinical Mental Health Counseling,3.73
69085278-DC5E-4AAD-9316-0AE50F9423E2,8/19/2011,5/10/2014,,Bachelor of Arts,Teacher Education,3.2
5ED165A5-6735-41AD-A3EA-0AEBA9D05546,5/23/2016,5/6/2017,Graduated,Master of Arts,Teaching,4
26A14ABA-7986-4ABA-8826-0AF51A5BC04F,7/16/2018,5/9/2020,Graduated,Master of Arts,MA: School Counselor & Consultant,3.84
DB672189-5181-4FF0-AD97-0B01B15CDBCA,8/12/2011,5/5/2012,Graduated,Master of Arts,MA: School Counselor & Consultant,4
4176CF01-20B4-4F14-8C4F-0B01EDDF60AF,,5/5/2007,Graduated,Master of Arts,MA: School Counselor & Consultant,3.42
134B3C90-E96E-4240-83C4-0B076B9F2864,,8/31/2004,Graduated,Bachelor of Arts,Teacher Education,3.82
5DC68C66-3D6D-4134-B91E-0B3201AA4FC2,11/30/2015,5/12/2018,,Bachelor of Science,Psychology,3.46
733C8504-D81A-4DCF-8E8C-0B3727245E91,4/25/2017,5/9/2020,Graduated,Bachelor of Arts,Communication,3.37
70E498B1-57D2-4756-8667-0B534B27C971,8/2/2013,8/24/2014,Graduated,Master of Education,MEd: Curriculum & Instructional Technology,4
04D7B3AB-C87A-4E5D-AA8B-0B8D7D792AC2,,6/11/2004,Graduated,Bachelor of Arts,Business Administration,2.41
2C7880E0-830D-40E9-9132-0B9AD5C07735,8/19/2011,5/5/2012,,Bachelor of Arts,Business Administration,3.91
9248904E-0820-49F8-974F-0BA0F325F668,,5/5/2006,,Bachelor of Arts,Management,3.6
100D5F47-9BCA-435F-BC3C-0BABD6E3645C,,6/15/2001,Graduated,Bachelor of Arts,Management,3.53
0115775C-3E37-4EC1-84FC-0BB6370DFEA5,,12/14/2007,Graduated,Bachelor of Arts,Human Services,3.46
8EF381A3-52B2-48BB-8594-0BB83E8E136F,,6/9/2000,Graduated,Bachelor of Arts,Elementary Education,3.48
3A2E860D-924C-4B06-B42E-0BC097B5C615,7/29/2016,5/5/2017,,Bachelor of Science,Psychology: General,3.5
03413935-1D80-45A4-A214-0BE77E176F85,,12/10/2010,Graduated,Master of Arts,Community Counseling,3.5
B2F1E2F8-57C3-4D0B-83A3-0BF4053A982E,,8/30/2002,Graduated,Bachelor of Arts,Management,4
96C97A93-702C-4683-A7AC-0C01659C0C8A,3/20/2015,5/7/2016,Graduated,Bachelor of Science,Psychology,3.77
1407D60A-CD79-4D46-9884-0C27F85E4D15,,5/9/2009,Graduated,Bachelor of Arts,Business Administration,2.45
14FDC9B2-980B-4847-A733-0C2860D2669F,,3/19/2004,Graduated,Bachelor of Arts,Teacher Education,3.97
C302D520-447E-43D2-B14A-0C5B36B38096,12/9/2013,8/24/2014,,Master of Business Admin,Master of Business Administration,4
